Kotetsu Boku,[u'Joachim Hansen']
Sean Spencer,"[u'Paulo Thiago', u'Alex Garcia', u'Drew Dober', u'Yuri Villefort', u'Rafael Natal']"
Alan Patrick,"[u'John Makdessi', u'Garett Whiteley']"
Chris Dempsey,[u'Ilir Latifi']
Luke Caudillo,"[u'Billy Evangelista', u'Marcus Aurelio', u'Nate Mohr']"
Aaron Wilkinson,[u'Cody McKenzie']
Takashi Sugiura,[u'Daniel Gracie']
Siala Siliga,"[u'Josh Barnett', u'Semmy Schilt']"
Buddy Roberts,"[u'Yushin Okami', u'Caio Magalhaes']"
Jonathan Goulet,"[u'Marcus Davis', u'Mike Swick', u'Kuniyoshi Hironaka', u'Paul Georgieff', u'Dustin Hazelett', u'Josh Koscheck', u'Luke Cummo', u'Duane Ludwig', u'Jay Hieron']"
Paul Sass,"[u'Danny Castillo', u'Matt Wiman', u'Jacob Volkmann', u'Michael Johnson', u'Mark Holst']"
Dan Henderson,"[u'Daniel Cormier', u'Mauricio Rua', u'Vitor Belfort', u'Rashad Evans', u'Lyoto Machida', u'Mauricio Rua', u'Fedor Emelianenko', u'Rafael Cavalcante', u'Renato Sobral', u'Jake Shields', u'Michael Bisping', u'Rich Franklin', u'Rousimar Palhares', u'Anderson Silva', u'Quinton Jackson', u'Wanderlei Silva', u'Vitor Belfort', u'Kazuo Misaki', u'Kazuo Misaki', u'Murilo Bustamante', u'Ryo Chonan', u'Akihiro Gono', u'Yuki Kondo', u'Kazuhiro Nakamura', u'Murilo Bustamante', u'Shungo Oyama', u'Ricardo Arona', u'Murilo Rua', u'Akira Shoji', u'Renzo Gracie', u'Wanderlei Silva', u'Allan Goes', u'Carlos Newton', u'Eric Smith']"
Chris Brennan,"[u'Tatsuya Kawajiri', u'Daiju Takase', u'Eiji Mitsuoka', u'Gil Castillo', u'Joe Stevenson', u'Courtney Turner', u'Pat Miletich']"
Jesse Ronson,"[u'Kevin Lee', u'Francisco Trinaldo', u'Michel Prazeres']"
Pat Audinwood,"[u'John Makdessi', u'Thiago Tavares']"
Carlos Newton,"[u'Ryo Chonan', u'Daiju Takase', u'Renato Verissimo', u'Renzo Gracie', u'Anderson Silva', u'Pete Spratt', u'Matt Hughes', u'Jose Landi-Jons', u'Matt Hughes', u'Pat Miletich', u'Yuhi Sano', u'Daijiro Matsui', u'Kazushi Sakuraba', u'Dan Henderson', u'Bob Gilstrap']"
Bob Sapp,"[u'Ikuhisa Minowa', u'Akihito Tanaka', u'Jan Nortje', u'Kiyoshi Tamura', u'Yoshihisa Yamamoto']"
Noad Lahat,"[u'Steven Siler', u'Godofredo Pepey']"
John Maguire,"[u'Mitch Clarke', u'Matthew Riddle', u'John Hathaway', u'DaMarques Johnson', u'Justin Edwards']"
Siyar Bahadurzada,"[u'John Howard', u'Paulo Thiago']"
Soa Palelei,"[u'Walt Harris', u'Jared Rosholt', u'Ruan Potts', u'Pat Barry', u'Nikita Krylov', u'Eddie Sanchez']"
Samy Schiavo,"[u'Per Eklund', u'Clay Guida']"
Byron Bloodworth,"[u'Erik Perez', u'Mike Easton']"
Pat Miletich,"[u'Matt Lindland', u'Shonie Carter', u'Carlos Newton', u'Kenichi Yamamoto', u'John Alessio', u'Andre Pederneiras', u'Jorge Patino', u'Mikey Burnett', u'Chris Brennan', u'Townsend Saunders']"
Joao Roque,"[u'Stephen Palling', u'Jens Pulver']"
Reza Madadi,"[u'Michael Johnson', u'Cristiano Marcello', u'Yoislandy Izquierdo']"
Alex Schoenauer,"[u'Vladimir Matyushenko', u'Mike Swick']"
Trevor Prangley,"[u'Tatsuya Mizuno', u'Roger Gracie', u'Tim Kennedy', u'Karl Amoussou', u'Anthony Ruiz', u'Falaniko Vitale', u'Jorge Santiago', u'Anthony Ruiz', u'Chael Sonnen', u'Jeremy Horn', u'Travis Lutter', u'Curtis Stout']"
Scott Lighty,"[u'Lorenz Larkin', u'Antwain Britt', u'Mike Cook']"
Sean Strickland,[u'Luke Barnatt']
Hugo Viana,"[u'Aljamain Sterling', u'T.J. Dillashaw', u'Reuben Duran', u'John Teixeira']"
Antonio Banuelos,"[u'Masakazu Imanari', u'Bibiano Fernandes', u'Hideo Tokoro', u'Miguel Torres', u'Chad George', u'Scott Jorgensen', u'Kenji Osawa', u'Scott Jorgensen', u'Manny Tapia', u'Justin Robbins', u'Charlie Valencia', u'Mike French', u'Eddie Wineland']"
Yves Jabouin,"[u'Mike Easton', u'Eddie Wineland', u'Dustin Pague', u'Brad Pickett', u'Jeff Hougland', u'Walel Watson', u'Ian Loveland', u'Pablo Garza', u'Brandon Visher', u'Mark Hominick', u'Raphael Assuncao']"
David Velasquez,[u'Jens Pulver']
Riki Fukuda,"[u'Brad Tavares', u'Tom DeBlass', u'Steve Cantwell', u'Nick Ring', u'Murilo Rua']"
Sammy Morgan,"[u'Duane Ludwig', u'Paul Daley', u'Cung Le', u'Forrest Petz', u'Josh Burkman']"
Donny Walker,"[u'Ken Stone', u'Jeff Hougland']"
Nick Catone,"[u'Tom Watson', u'Chris Camozzi', u'Jesse Forbes', u'Mark Munoz', u'Tim Credeur', u'Derek Downey']"
Michael Patt,"[u'Brandon Vera', u'Tim Boetsch']"
Andy Ogle,"[u'Maximo Blanco', u'Charles Oliveira', u'Cole Miller', u'Josh Grispi', u'Akira Corassani']"
Casey Olson,"[u'Chris Culley', u'Bobby Sanchez']"
Sean McCorkle,"[u'Christian Morecraft', u'Stefan Struve', u'Mark Hunt']"
John Matua,[u'David Abbott']
Del Hawkins,[u'Coty Wheeler']
Todd Lally,[u'Jeff Curran']
Frank Caracci,[u'Laverne Clark']
Paul Herrera,[u'Gary Goodridge']
DaMarques Johnson,"[u'Gunnar Nelson', u'Mike Swick', u'John Maguire', u'Clay Harvison', u'Amir Sadollah', u'Mike Guymon', u'Matthew Riddle', u'Brad Blackburn', u'Edgar Garcia', u'James Wilks']"
Tiequan Zhang,"[u'Jon Tuck', u'Issei Tamura', u'Darren Elkins', u'Jason Reinhardt', u'Danny Downes', u'Pablo Garza']"
Yoislandy Izquierdo,"[u'Rafaello Oliveira', u'Reza Madadi']"
