Kotetsu Boku,[u'Joachim Hansen']
Kyle Noke,"[u'Patrick Cote', u'Charlie Brenneman', u'Andrew Craig', u'Ed Herman', u'Chris Camozzi', u'Rob Kimmons', u'Josh Bryant', u'Seth Kleinbeck']"
Oleg Taktarov,"[u'Gary Goodridge', u'Dave Beneteau', u'Dan Severn', u'Marco Ruas', u'Ken Shamrock', u'Dave Beneteau', u'David Abbott', u'Anthony Macias', u'Dan Severn', u'Ernie Verdicia']"
Wagner Prado,"[u'Ildemar Alcantara', u'Phil Davis', u'Phil Davis']"
Ricardo Barros,[u'Mark Munoz']
Ryuichi Murata,[u'Kazuki Okubo']
Dan Barrera,[u'Ben Saunders']
Marcus Bossett,"[u'Steve Nelmark', u'Dan Severn']"
John Franchi,"[u'Cub Swanson', u'Manvel Gamburyan', u'Mike Budnik']"
Rolles Gracie,[u'Joey Beltran']
Sean Sherk,"[u'Evan Dunham', u'Frankie Edgar', u'Tyson Griffin', u'BJ Penn', u'Hermes Franca', u'Kenny Florian', u'Nick Diaz', u'Georges St-Pierre', u'Ryuki Ueyama', u'Matt Hughes', u'Benji Radach', u'Jutaro Nakao', u'Tiki Ghosn']"
Daniel Cormier,"[u'Dan Henderson', u'Patrick Cummins', u'Roy Nelson', u'Frank Mir', u'Dion Staring', u'Josh Barnett', u'Jeff Monson', u'Devin Cole', u'Jason Riley', u'John Devine', u'Gary Frazier']"
Matt Hobar,"[u'Sergio Pettis', u'Aaron Phillips', u'Pedro Munhoz']"
Myles Jury,"[u'Takanori Gomi', u'Diego Sanchez', u'Mike Ricci', u'Ramsey Nijem', u'Michael Johnson', u'Chris Saunders']"
Anthony Alves,[u'Jesse Jones']
Uriah Hall,"[u'Thiago Santos', u'Chris Leben', u'John Howard', u'Kelvin Gastelum']"
Chris Saunders,[u'Myles Jury']
Mitch Clarke,"[u'Al Iaquinta', u'John Maguire', u'Anton Kuivanen', u'John Cholish']"
Aaron Wetherspoon,[u'Mike Pyle']
Aaron Lanfranco,[u'Thomas Diagne']
Nick Osipczak,"[u'Duane Ludwig', u'Greg Soto', u'Rick Story', u'Matthew Riddle', u'Frank Lester']"
Jeff Cox,"[u'Manvel Gamburyan', u'Gleison Tibau']"
Andrew Valladerez,"[u'Darren Uyenoyama', u'Chris Cariaso']"
Valmir Lazaro,[u'James Vick']
Ron Faircloth,[u'Alessio Sakara']
Mitsuhiro Ishida,"[u'Joachim Hansen', u'Akiyo Nishiura', u'Daiki Hata', u'Gilbert Melendez', u'Daisuke Nakamura', u'Justin Wilcox', u'Caol Uno', u'Bu-Kyung Jung', u'Gilbert Melendez', u'Takanori Gomi', u'David Bielkheden', u'Cristiano Marcello', u'Marcus Aurelio', u'Paul Rodriguez']"
Viscardi Andrade,[u'Bristol Marunde']
Matt Hamill,"[u'Thiago Silva', u'Roger Hollett', u'Alexander Gustafsson', u'Quinton Jackson', u'Tito Ortiz', u'Keith Jardine', u'Jon Jones', u'Mark Munoz', u'Reese Andy', u'Rich Franklin', u'Tim Boetsch', u'Michael Bisping', u'Rex Holman', u'Seth Petruzelli', u'Jesse Forbes']"
Seth Dikun,"[u'Frank Gomez', u'Rolando Perez', u'Charlie Valencia']"
Jorge Rivera,"[u'Eric Schafer', u'Michael Bisping', u'Nate Quarry', u'Rob Kimmons', u'Nissen Osterneck', u'Martin Kampmann', u'Kendall Grove', u'Terry Martin', u'Edwin DeWees', u'Chris Leben', u'Dennis Hallman', u'Anderson Silva', u'Rich Franklin', u'Lee Murray', u'David Loiseau']"
Denis Sobolev,[u'Heath Herring']
Santiago Ponzinibbio,[u'Ryan LaFlare']
Marcus Silveira,"[u'Kazushi Sakuraba', u'Kazushi Sakuraba']"
Zubaira Tukhugov,[u'Ernest Chavez']
Tetsuji Kato,"[u'Gilbert Melendez', u'Anderson Silva']"
Ian McCall,"[u'Brad Pickett', u'Iliarde Santos', u'Joseph Benavidez', u'Demetrious Johnson', u'Demetrious Johnson', u'Dominick Cruz', u'Charlie Valencia', u'Coty Wheeler']"
Clint Coronel,"[u'Alex Crispin', u'Billy Evangelista', u'Juan Miranda']"
Katsuaki Furuki,[u'Andy Ologun']
Jose Maria,"[u'Dustin Ortiz', u'John Lineker']"
Andre Amado,"[u'KJ Noons', u'Katsunori Kikuno', u'Eddie Alvarez']"
Urijah Faber,"[u'Francisco Rivera', u'Alex Caceres', u'Renan Barao', u'Michael McDonald', u'Iuri Alcantara', u'Scott Jorgensen', u'Ivan Menjivar', u'Renan Barao', u'Brian Bowles', u'Dominick Cruz', u'Eddie Wineland', u'Takeya Mizugaki', u'Jose Aldo', u'Raphael Assuncao', u'Mike Brown', u'Jens Pulver', u'Mike Brown', u'Jens Pulver', u'Jeff Curran', u'Chance Farrar', u'Dominick Cruz', u'Joe Pearson', u'Cole Escovedo']"
Steve Jennum,"[u'David Abbott', u'Melton Bowen', u'Harold Howard']"
Rafaello Oliveira,"[u'Erik Koch', u'Edson Barboza', u'Yoislandy Izquierdo', u'Yves Edwards', u'Gleison Tibau', u'Andre Winner', u'John Gunderson', u'Nik Lentz']"
CJ Fernandes,[u'Brad Gumm']
Kevin Casey,"[u'Bubba Bush', u'Josh Samman', u'Matt Lindland', u'Chad Vance']"
Claudionor Fontinelle,[u'Anderson Silva']
John Campetella,[u'Gary Goodridge']
Roberto Traven,"[u'Frank Mir', u'Dave Berry']"
Richard Dalton,[u'Daniel Puder']
Phil Davis,"[u'Glover Teixeira', u'Anthony Johnson', u'Lyoto Machida', u'Vinny Magalhaes', u'Wagner Prado', u'Wagner Prado', u'Rashad Evans', u'Tim Boetsch', u'Rodney Wallace', u'Alexander Gustafsson', u'Brian Stann']"
John Renken,[u'Akira Shoji']
Chico Camus,"[u'Brad Pickett', u'Chris Holdsworth', u'Yaotzin Meza', u'Dustin Kimura', u'Dustin Pague']"
Gilles Arsene,[u'Kazushi Sakuraba']
Dennis Hallman,"[u'John Makdessi', u'Brian Ebersole', u'Karo Parisyan', u'Ben Saunders', u'John Howard', u'Justin Davis', u'Jeremiah Metcalf', u'Jorge Rivera', u'Frank Trigg', u'Frank Trigg', u'Jens Pulver', u'Matt Hughes']"
Gregory Bouchelaghem,[u'Paulo Filho']
Henry Martinez,"[u'Daron Cruickshank', u'Bernardo Magalhaes', u'Matthew Riddle']"
Brad Tavares,"[u'Tim Boetsch', u'Yoel Romero', u'Lorenz Larkin', u'Riki Fukuda', u'Tom Watson', u'Dongi Yang', u'Aaron Simpson', u'Phil Baroni', u'Seth Baczynski']"
Sai Wang,"[u'Danny Mitchell', u'Lipeng Zhang']"
Allen Berube,[u'Leonard Garcia']
Brad Kohler,"[u'Steve Judson', u'Tra Telligman']"
Fabiano Scherner,"[u'Gabriel Gonzaga', u'Brandon Vera']"
Ray Borg,"[u'Shane Howell', u'Dustin Ortiz']"
Royce Gracie,"[u'Kazushi Sakuraba', u'Matt Hughes', u'Hidehiko Yoshida', u'Kazushi Sakuraba', u'Nobuhiko Takada', u'Ken Shamrock', u'Dan Severn', u'Keith Hackney', u'Kimo Leopoldo', u'Patrick Smith', u'Minoki Ichihara', u'Remco Pardoel', u'Jason DeLucia', u'Ken Shamrock', u'Art Jimmerson', u'Gerard Gordeau']"
Tony Petarra,[u'Wanderlei Silva']
Trent Jenkins,"[u'Mark Hall', u'Jason DeLucia']"
James Giboo,[u'Brad Blackburn']
Kaleo Kwan,[u'Thomas Diagne']
Mike Bourke,[u'Alexander Otsuka']
Nobuhiko Takada,"[u'Kiyoshi Tamura', u'Mirko Filipovic', u'Igor Vovchanchyn', u'Royce Gracie', u'Mark Kerr', u'Mark Coleman', u'Rickson Gracie', u'Kyle Sturgeon', u'Rickson Gracie']"
Jimy Hettes,"[u'Dennis Bermudez', u'Marcus Brimage', u'Nam Phan', u'Alex Caceres']"
Lipeng Zhang,"[u""Brendan O'Reilly"", u'Sai Wang']"
James Krause,"[u'Jorge Masvidal', u'Jamie Varner', u'Bobby Green', u'Sam Stout', u'Ricardo Lamas', u'Donald Cerrone']"
Brad Imes,"[u'Heath Herring', u'Dan Christison', u'Rashad Evans']"
Rafael Dias,"[u'Diego Nunes', u'Mike Budnik', u'Danny Castillo']"
Kazuyuki Fujita,"[u'Alistair Overeem', u'Jeff Monson', u'Eldari Kurtanidze', u'Wanderlei Silva', u'James Thompson', u'Fedor Emelianenko', u'Mirko Filipovic', u'Mirko Filipovic', u'Yoshihiro Takayama', u'Gilbert Yvel', u'Ken Shamrock', u'Mark Kerr', u'Mark Coleman', u'Hans Nijman']"
Shane Primm,[u'Krzysztof Soszynski']
Neil Wain,[u'Shane Carwin']
Omari Akhmedov,"[u'Gunnar Nelson', u'Thiago Perpetuo']"
Will Brooks,[u'Satoru Kitaoka']
John Lineker,"[u'Alptekin Ozkilic', u'Ali Bagautinov', u'Phil Harris', u'Jose Maria', u'Azamat Gashimov', u'Yasuhiro Urushitani', u'Louis Gaudinot']"
Daniel Sarafian,"[u'Kiichi Kunimoto', u'Cezar Ferreira', u'Eddie Mendez', u'CB Dollaway']"
Errol Zimmerman,[u'Ikuhisa Minowa']
Eugenio Tadeu,[u'Mikey Burnett']
Fabio Maldonado,"[u'Hans Stringer', u'Stipe Miocic', u'Gian Villante', u'Joey Beltran', u'Roger Hollett', u'Glover Teixeira', u'Igor Pokrajac', u'Kyle Kingsbury', u'James McSweeney']"
Pete Sell,"[u'Matt Brown', u'Josh Burkman', u'Nate Quarry', u'Thales Leites', u'Scott Smith', u'Nate Quarry', u'Phil Baroni']"
Craig Zellner,[u'Brian Stann']
Scott Baker,[u'Jason DeLucia']
Thomas Diagne,"[u'Aaron Lanfranco', u'Caros Fodor', u'Merritt Warren', u'Kaleo Kwan']"
Scott Fiedler,[u'Brian Johnston']
Jack Morrison,[u'Glover Teixeira']
Clifford Starks,"[u'Yoel Romero', u'Ed Herman', u'Dustin Jacoby']"
Chris Lytle,"[u'Dan Hardy', u'Brian Ebersole', u'Matt Serra', u'Matt Brown', u'Brian Foster', u'Kevin Burns', u'Marcus Davis', u'Paul Taylor', u'Josh Koscheck', u'Kyle Bradley', u'Thiago Alves', u'Jason Gilliam', u'Matt Hughes', u'Matt Serra', u'Trenell Young', u'Joe Riggs', u'Pat Healy', u'Karo Parisyan', u'Ronald Jhun', u'Tiki Ghosn', u'Robbie Lawler', u'Ben Earwood']"
Neil Seery,"[u'Phil Harris', u'Brad Pickett']"
Diego Sanchez,"[u'Ross Pearson', u'Myles Jury', u'Gilbert Melendez', u'Takanori Gomi', u'Jake Ellenberger', u'Martin Kampmann', u'Paulo Thiago', u'John Hathaway', u'BJ Penn', u'Clay Guida', u'Joe Stevenson', u'Luigi Fioravanti', u'David Bielkheden', u'Jon Fitch', u'Josh Koscheck', u'Joe Riggs', u'Karo Parisyan', u'John Alessio', u'Nick Diaz', u'Brian Gassaway', u'Kenny Florian', u'Jorge Santiago', u'Rene Kronvold', u'Shannon Ritch']"
Dan Evensen,"[u'Pat Barry', u'Cheick Kongo']"
Takeya Mizugaki,"[u'Dominick Cruz', u'Francisco Rivera', u'Nam Phan', u'Erik Perez', u'Bryan Caraway', u'Jeff Hougland', u'Chris Cariaso', u'Cole Escovedo', u'Brian Bowles', u'Reuben Duran', u'Urijah Faber', u'Rani Yahya', u'Scott Jorgensen', u'Jeff Curran', u'Miguel Torres']"
Ray Sefo,"[u'Valentijn Overeem', u'Kevin Jordan']"
Ben Wall,"[u'Justin Salas', u'Alex Garcia']"
Jackie Lee,[u'Nick Sanzo']
Steven Graham,"[u'Randy Couture', u'Dmitri Stepanov']"
Alexandre Dantas,"[u'Gan McGee', u'Yuki Kondo']"
Mike Pierce,"[u'Rousimar Palhares', u'David Mitchell', u'Seth Baczynski', u'Aaron Simpson', u'Josh Koscheck', u'Paul Bradley', u'Johny Hendricks', u'Kenny Robertson', u'Amilcar Alves', u'Julio Paulino', u'Jon Fitch', u'Brock Larson', u'Justin Haskins']"
Osamu Tachihikari,[u'Gary Goodridge']
Josh Ferguson,"[u'Chris Cariaso', u'Roland Delorme']"
Sherron Leggett,"[u'Jamie Varner', u'Charlie Kohler']"
Josh Haynes,"[u'Luke Cummo', u'Rory Singer', u'Michael Bisping']"
Terry Etim,"[u'Renee Forte', u'Edson Barboza', u'Edward Faaloloto', u'Shannon Gugerty', u'Justin Buchholz', u'Brian Cobb', u'Sam Stout', u'Rich Clementi', u'Gleison Tibau', u'Matt Grice']"
Brian Stann,"[u'Wanderlei Silva', u'Michael Bisping', u'Alessio Sakara', u'Chael Sonnen', u'Jorge Santiago', u'Chris Leben', u'Mike Massenzio', u'Phil Davis', u'Rodney Wallace', u'Steve Cantwell', u'Krzysztof Soszynski', u'Steve Cantwell', u'Doug Marshall', u'Jeremiah Billington', u'Craig Zellner', u'Steve Cantwell', u'Miguel Cosio']"
Jon Tuck,"[u'Kevin Lee', u'Jake Lindsey', u'Norman Parke', u'Tiequan Zhang']"
Jason Brilz,"[u'Ryan Bader', u'Vladimir Matyushenko', u'Eric Schafer', u'Eliot Marshall', u'Tim Boetsch', u'Brad Morris']"
Rick Davis,[u'Melvin Guillard']
Dan Kelly,[u'Luke Zachrich']
Bobby Voelker,"[u'Lance Benoist', u'Robbie Lawler', u'Patrick Cote', u'Roger Bowling', u'Roger Bowling', u'Cory Devela', u'Roger Bowling', u'Erik Apple']"
Kenji Osawa,"[u'Keisuke Fujiwara', u'Takafumi Otsuka', u'Masakazu Imanari', u'Yoshiro Maeda', u'Antonio Banuelos', u'Rafael Rebello', u'Scott Jorgensen', u'Chris Manuel']"
Ali Bagautinov,"[u'Demetrious Johnson', u'John Lineker', u'Timothy Elliott', u'Marcos Vinicius']"
Leonardo Mafra,"[u'Rick Story', u'Thiago Perpetuo']"
Benji Radach,"[u'Scott Smith', u'Murilo Rua', u'Sean Sherk', u'Nick Serra', u'Steve Berger']"
Willamy Freire,"[u'Satoru Kitaoka', u'Waylon Lowe']"
TJ Grant,"[u'Gray Maynard', u'Matt Wiman', u'Evan Dunham', u'Carlo Prater', u'Shane Roller', u'Ricardo Almeida', u'Julio Paulino', u'Johny Hendricks', u'Kevin Burns', u'Ryo Chonan']"
Elias Silverio,"[u'Ernest Chavez', u'Isaac Vallie-Flagg', u'Joao Zeferino']"
Tom Aaron,"[u'Matt Ricehouse', u'Eric Steenberg']"
Anthony Torres,"[u'Jess Liaudin', u'Pat Healy']"
Spencer Fisher,"[u'Sam Stout', u'Thiago Tavares', u'Ross Pearson', u'Curt Warburton', u'Dennis Siver', u'Joe Stevenson', u'Caol Uno', u'Shannon Gugerty', u'Jeremy Stephens', u'Frankie Edgar', u'Sam Stout', u'Hermes Franca', u'Dan Lauzon', u'Matt Wiman', u'Sam Stout', u'Aaron Riley', u'Thiago Alves']"
Scott Graham,"[u'Drew Dimanlig', u'Jared Hamman', u'Chris Yee']"
Josh Koscheck,"[u'Tyron Woodley', u'Robbie Lawler', u'Johny Hendricks', u'Mike Pierce', u'Matt Hughes', u'Georges St-Pierre', u'Paul Daley', u'Anthony Johnson', u'Frank Trigg', u'Paulo Thiago', u'Yoshiyuki Yoshida', u'Thiago Alves', u'Chris Lytle', u'Dustin Hazelett', u'Georges St-Pierre', u'Diego Sanchez', u'Jeff Joslin', u'Jonathan Goulet', u'Dave Menne', u'Ansar Chalangov', u'Drew Fickett', u'Pete Spratt', u'Chris Sanford']"
Victor Valimaki,"[u'Alessio Sakara', u'David Heath']"
John Dodson,"[u'John Moraga', u'Darrell Montague', u'Demetrious Johnson', u'Timothy Elliott', u'T.J. Dillashaw']"
Tsuyoshi Kurihara,[u'Gegard Mousasi']
James Lee,"[u'Alessio Sakara', u'Travis Wiuff']"
Ron Fields,[u'Falaniko Vitale']
Mack Brewer,[u'Tim Kennedy']
Iliarde Santos,"[u'Chris Cariaso', u'Ian McCall', u'Iuri Alcantara']"
Leonard Garcia,"[u'Cody McKenzie', u'Max Holloway', u'Matt Grice', u'Nam Phan', u'Nam Phan', u'Mark Hominick', u'George Roop', u'Manvel Gamburyan', u'Jameel Massouh', u'Mike Brown', u'Jens Pulver', u'Hiroyuki Takaya', u'Cole Miller', u'Allen Berube', u'Roger Huerta']"
Kazunari Murakami,"[u'Masaaki Satake', u'John Dixson']"
Tony DeSouza,"[u'Roan Carneiro', u'Thiago Alves', u'Dustin Hazelett', u'Chatt Lavender', u'Jutaro Nakao', u'Paul Rodriguez', u'Steve Berger']"
Luke Cummo,"[u'Tamdan McCrory', u'Luigi Fioravanti', u'Josh Haynes', u'Jonathan Goulet', u'Joe Stevenson']"
Kevin Randleman,"[u'Roger Gracie', u'Mike Whitehead', u'Mauricio Rua', u'Kazuhiro Nakamura', u'Mirko Filipovic', u'Ron Waterman', u'Fedor Emelianenko', u'Mirko Filipovic', u'Kazushi Sakuraba', u'Quinton Jackson', u'Murilo Rua', u'Kenichi Yamamoto', u'Michiyoshi Ohara', u'Renato Sobral', u'Chuck Liddell', u'Randy Couture', u'Pedro Rizzo', u'Pete Williams', u'Bas Rutten', u'Maurice Smith']"
Achmed Labasanov,[u'Gary Goodridge']
Ed Herman,"[u'Rafael Natal', u'Thales Leites', u'Trevor Smith', u'Jake Shields', u'Clifford Starks', u'Kyle Noke', u'Tim Credeur', u'Aaron Simpson', u'David Loiseau', u'Alan Belcher', u'Demian Maia', u'Joe Doerksen', u'Scott Smith', u'Chris Price', u'Jason MacDonald', u'Kendall Grove']"
Josh Neal,"[u'Kurt Osiander', u'Luke Rockhold', u'Eric Lawson']"
Matt Grice,"[u'Dennis Bermudez', u'Leonard Garcia', u'Ricardo Lamas', u'Shannon Gugerty', u'Matt Veach', u'Jason Black', u'Terry Etim']"
David Bielkheden,"[u'Mark Bocek', u'Jess Liaudin', u'Diego Sanchez', u'Mitsuhiro Ishida']"
Joe Martin,[u'Clay Guida']
Justin Levens,"[u'Jorge Santiago', u'Evan Tanner']"
John Kolosci,"[u'Shamar Bailey', u'Matt Arroyo']"
Diego Saraiva,"[u'Jeremy Stephens', u'Jorge Gurgel', u'Dustin Hazelett']"
Tito Jones,[u'Bao Quach']
Sean Soriano,"[u'Chas Skelly', u'Tatsuya Kawajiri']"
Bryan Travers,"[u'Carlo Prater', u'Pat Healy']"
Adlan Amagov,"[u'Chris Spang', u'Keith Berry', u'Robbie Lawler', u'Anthony Smith', u'Ron Stallings']"
Fabricio Camoes,"[u'Tony Martin', u'Jim Miller', u'Melvin Guillard', u'Tommy Hayden', u'Kurt Pellegrino', u'Caol Uno', u'Torrance Taylor']"
Max Holloway,"[u'Akira Corassani', u'Clay Collard', u'Andre Fili', u'Will Chope', u'Conor McGregor', u'Dennis Bermudez', u'Leonard Garcia', u'Justin Lawrence', u'Pat Schilling', u'Dustin Poirier']"
Sean Bassett,"[u'David Smith', u'David Smith', u'Chris Amarante']"
Takeshi Inoue,"[u'Hiroyuki Takaya', u'Caol Uno', u'Koichiro Matsumoto', u'Kazuyuki Miyata']"
Saad Awad,[u'Joe Duarte']
Dion Staring,[u'Daniel Cormier']
Chris Weidman,"[u'Lyoto Machida', u'Anderson Silva', u'Anderson Silva', u'Mark Munoz', u'Demian Maia', u'Tom Lawlor', u'Jesse Bongfeldt', u'Alessio Sakara']"
Steve Berger,"[u'Eddy Ellis', u'Robbie Lawler', u'Benji Radach', u'Tony DeSouza']"
Edwin DeWees,"[u'Jorge Rivera', u'Chris Leben', u'Rich Franklin']"
Yusaku Nakamura,[u'Atsushi Yamamoto']
Edson Silva,[u'Forrest Griffin']
Clay Collard,"[u'Alex White', u'Max Holloway']"
Dustin Hazelett,"[u'Mark Bocek', u'Rick Story', u'Paul Daley', u'Tamdan McCrory', u'Josh Burkman', u'Josh Koscheck', u'Jonathan Goulet', u'Stevie Lynch', u'Diego Saraiva', u'Tony DeSouza']"
Mario Neto,[u'Eddie Sanchez']
Ben Earwood,[u'Chris Lytle']
Andre Roberts,"[u'Ron Waterman', u'Gary Goodridge', u'Harry Moskowitz']"
Kengo Watanabe,[u'Lyoto Machida']
Antonio Schembri,"[u'Ryo Chonan', u'Kazushi Sakuraba', u'Kazuhiro Hamanaka', u'Kazushi Sakuraba']"
Fernando Gonzalez,"[u'Eddie Mendez', u'Hiromitsu Miura', u'Brendan Seguin']"
Noah Thomas,"[u'Scott Jorgensen', u'Frank Gomez']"
Frank Gomez,"[u'Wagnney Fabiano', u'Seth Dikun', u'Noah Thomas', u'Scott Jorgensen']"
Bubba Bush,[u'Kevin Casey']
Junya Kudo,[u'Joseph Benavidez']
David Michaud,[u'Jingliang Li']
Chris Cariaso,"[u'Demetrious Johnson', u'Louis Smolka', u'Danny Martinez', u'Iliarde Santos', u'John Moraga', u'Josh Ferguson', u'Takeya Mizugaki', u'Vaughan Lee', u'Michael McDonald', u'Will Campuzano', u'Renan Barao', u'Rafael Rebello', u'Anthony Figueroa', u'Anthony Figueroa', u'Andrew Valladerez']"
Gabe Ruediger,"[u'Paul Taylor', u'Joe Lauzon', u'Melvin Guillard']"
Jesse Lennox,"[u'Mike Pyle', u'Rick Story', u'Danillo Villefort', u'Blas Avena']"
Jon Manley,[u'Neil Magny']
Russell Doane,"[u'Iuri Alcantara', u'Marcus Brimage', u'Leandro Issa']"
Donald Cerrone,"[u'Eddie Alvarez', u'Jim Miller', u'Edson Barboza', u'Adriano Martins', u'Evan Dunham', u'KJ Noons', u'Anthony Pettis', u'Melvin Guillard', u'Jeremy Stephens', u'Nate Diaz', u'Dennis Siver', u'Charles Oliveira', u'Vagner Rocha', u'Paul Kelly', u'Chris Horodecki', u'Jamie Varner', u'Benson Henderson', u'Ed Ratcliff', u'Benson Henderson', u'James Krause', u'Jamie Varner', u'Rob McCullough', u'Danny Castillo', u'Kenneth Alexander']"
Joe Hurley,"[u'Nate Diaz', u'Nick Diaz', u'Vitor Ribeiro']"
Caio Magalhaes,"[u'Trevor Smith', u'Luke Zachrich', u'Nick Ring', u'Karlos Vemola', u'Buddy Roberts']"
Akbarh Arreola,[u'Yves Edwards']
Andre Pederneiras,[u'Pat Miletich']
Marcus Brimage,"[u'Jumabieke Tuerxun', u'Russell Doane', u'Conor McGregor', u'Jimy Hettes', u'Maximo Blanco', u'Stephen Bass']"
Anton Kuivanen,"[u'Michael Chiesa', u'Mitch Clarke', u'Justin Salas']"
Anthony Johnson,"[u'Phil Davis', u'Vitor Belfort', u'Charlie Brenneman', u'Dan Hardy', u'Josh Koscheck', u'Yoshiyuki Yoshida', u'Luigi Fioravanti', u'Kevin Burns', u'Kevin Burns', u'Tommy Speer', u'Rich Clementi', u'Chad Reiner']"
Rashad Evans,"[u'Chael Sonnen', u'Dan Henderson', u'Jon Jones', u'Phil Davis', u'Tito Ortiz', u'Quinton Jackson', u'Thiago Silva', u'Lyoto Machida', u'Forrest Griffin', u'Chuck Liddell', u'Michael Bisping', u'Tito Ortiz', u'Sean Salmon', u'Jason Lambert', u'Stephan Bonnar', u'Sam Hoger', u'Brad Imes', u'Jaime Jara', u'Hector Ramirez', u'Bryan Pardoe']"
Jesse Moreng,[u'Micah Miller']
Martin Kampmann,"[u'Carlos Condit', u'Johny Hendricks', u'Jake Ellenberger', u'Thiago Alves', u'Rick Story', u'Diego Sanchez', u'Jake Shields', u'Paulo Thiago', u'Jacob Volkmann', u'Paul Daley', u'Carlos Condit', u'Alexandre Barros', u'Nate Marquardt', u'Jorge Rivera', u'Drew McFedries', u'Thales Leites', u'Crafton Wallace', u'Edwin Aguilar']"
Bas Rutten,"[u'Ruben Villareal', u'Kevin Randleman', u'Tsuyoshi Kohsaka']"
John Halverson,"[u'Jorge Gurgel', u'Roger Huerta']"
Cezar Ferreira,"[u'Andrew Craig', u'CB Dollaway', u'Daniel Sarafian', u'Thiago Santos', u'Sergio Moraes']"
Sean Pierson,"[u'Kenny Robertson', u'Lance Benoist', u'Jake Hecht', u'Jake Ellenberger', u'Matthew Riddle']"
Ivan Menjivar,"[u'Hatsu Hioki', u'Wilson Reis', u'Urijah Faber', u'Azamat Gashimov', u'Mike Easton', u'John Albert', u'Nick Pace', u'Charlie Valencia', u'Brad Pickett', u'Matt Serra', u'Georges St-Pierre']"
Dean Lister,"[u'Yushin Okami', u'Jeremy Horn', u'Jordan Radev', u'Nate Marquardt', u'Yuki Sasaki', u'Alessio Sakara', u'Ricardo Arona', u'Akira Shoji', u'Amar Suloev']"
Yves Edwards,"[u'Akbarh Arreola', u'Piotr Hallmann', u'Yancy Medeiros', u'Daron Cruickshank', u'Isaac Vallie-Flagg', u'Jeremy Stephens', u'Tony Ferguson', u'Rafaello Oliveira', u'Sam Stout', u'Cody McKenzie', u'John Gunderson', u'Duane Ludwig', u'KJ Noons', u'Edson Berto', u'Joe Stevenson', u'Seichi Ikemoto', u'Mark Hominick', u'Joachim Hansen', u'Dokonjonosuke Mishima', u'Josh Thomson', u'Hermes Franca', u'Deshaun Johnson', u'Nick Agallar', u'Eddie Ruiz', u'Rich Clementi', u'Joao Pierini', u'Caol Uno', u'Matt Serra']"
Bill Mahood,"[u'Bobby Southworth', u'Forrest Griffin', u'Patrick Cote']"
Chael Sonnen,"[u'Rashad Evans', u'Mauricio Rua', u'Jon Jones', u'Anderson Silva', u'Michael Bisping', u'Brian Stann', u'Anderson Silva', u'Nate Marquardt', u'Yushin Okami', u'Dan Miller', u'Demian Maia', u'Paulo Filho', u'Bryan Baker', u'Paulo Filho', u'Jeremy Horn', u'Trevor Prangley', u'Renato Sobral', u'Alex Stiebling', u'Forrest Griffin']"
Ray Steinbeiss,[u'Jake Shields']
Lee Higgins,[u'Ryan Couture']
Paul Jones,[u'Chuck Liddell']
Augusto Montano,[u'Chris Heatherly']
Thomas Almeida,[u'Tim Gorman']
Donnie Chappell,[u'Tony Fryklund']
Lorenz Larkin,"[u'Derek Brunson', u'Brad Tavares', u'Chris Camozzi', u'Francis Carmont', u'Robbie Lawler', u'Muhammed Lawal', u'Nick Rossborough', u'Gian Villante', u'Scott Lighty']"
Anthony Njokuani,"[u'Daron Cruickshank', u'Vinc Pichel', u'Roger Bowling', u'John Makdessi', u'Danny Castillo', u'Andre Winner', u'Edson Barboza', u'Edward Faaloloto', u'Maciej Jewtuszko', u'Shane Roller', u'Chris Horodecki', u'Muhsin Corbbrey', u'Bart Palaszewski', u'Benson Henderson']"
Chris Heatherly,"[u'Augusto Montano', u'Ben Saunders']"
Noe Hernandez,[u'Chuck Liddell']
Eiji Mitsuoka,"[u'Nik Lentz', u'Takanori Gomi', u'Bruno Carvalho', u'Kyosuke Sasaki', u'Chris Brennan']"
Jose Palacios,"[u'Alvin Cacdac', u'Bobby Stack', u'Miguel Linares']"
Frank Trigg,"[u'Matt Serra', u'Josh Koscheck', u'Falaniko Vitale', u'Kazuo Misaki', u'Georges St-Pierre', u'Matt Hughes', u'Renato Verissimo', u'Dennis Hallman', u'Matt Hughes', u'Dennis Hallman', u'Jason Medina', u'Laverne Clark', u'Fabiano Iha']"
Chris Wilson,"[u'Mike Pyle', u'John Howard', u'Steve Bruno', u'Jon Fitch']"
Darrill Schoonover,[u'James McSweeney']
Chris Leben,"[u'Uriah Hall', u'Andrew Craig', u'Derek Brunson', u'Mark Munoz', u'Wanderlei Silva', u'Brian Stann', u'Yoshihiro Akiyama', u'Aaron Simpson', u'Jay Silva', u'Jake Rosholt', u'Michael Bisping', u'Alessio Sakara', u'Terry Martin', u'Kalib Starnes', u'Jason MacDonald', u'Jorge Santiago', u'Anderson Silva', u'Luigi Fioravanti', u'Jorge Rivera', u'Edwin DeWees', u'Patrick Cote', u'Jason Thacker', u'Joe Doerksen', u'Mike Swick', u'Brian Sleeman']"
Stephen Bass,[u'Marcus Brimage']
John Marsh,[u'Ricco Rodriguez']
Art Jimmerson,[u'Royce Gracie']
Jake Lindsey,"[u'Olivier Aubin-Mercier', u'Jon Tuck']"
